piso1Colid,12,
0,50,2260,50,
-50,650,50,650,
0,650,2260,50,
100,410,60,60,
220,170,60,60,
580,110,60,60,
1000,290,60,60,
1180,170,60,60,
1360,110,60,60,
1840,350,60,60,
2020,110,60,60,
2080,230,60,60,
piso2Colid,10,
220,350,60,60,
640,110,60,60,
1180,230,60,60,
1180,110,60,60,
1240,170,60,60,
1420,110,60,60,
1540,230,60,60,
2080,110,60,60,
2140,230,60,60,
2200,170,60,60,
piso3Colid,10,
160,110,60,60,
280,410,60,60,
700,110,60,60,
1240,110,60,60,
1240,230,60,60,
1300,170,60,60,
1600,230,60,60,
2080,170,60,60,
2140,110,60,60,
2200,230,60,60,
piso4Colid,9,
220,110,60,60,
640,170,60,60,
820,230,60,60,
1300,230,60,60,
1300,110,60,60,
1360,170,60,60,
1720,290,60,60,
2140,170,60,60,
2200,110,60,60,
